
2025-05-19 09:35:55,1,3 go,87%,640x480
2025-05-19 09:35:58,25,3 go,76%,640x480
2025-05-19 09:35:59,37,3 go,89%,640x480
2025-05-19 09:36:00,38,3 go,85%,640x480
2025-05-19 09:36:00,39,3 go,85%,640x480
2025-05-19 09:36:00,40,3 go,90%,640x480
2025-05-19 09:36:00,41,3 go,88%,640x480
2025-05-19 09:36:00,43,3 go,84%,640x480
2025-05-19 09:36:00,44,3 go,99%,640x480
2025-05-19 09:36:00,45,3 go,96%,640x480
2025-05-19 09:36:00,46,3 go,91%,640x480
2025-05-19 09:36:01,50,3 go,75%,640x480
2025-05-19 09:36:01,52,24 speed_limit_60kmph,84%,640x480
2025-05-19 09:36:01,53,24 speed_limit_60kmph,99%,640x480
2025-05-19 09:36:01,54,24 speed_limit_60kmph,93%,640x480
2025-05-19 09:36:01,55,24 speed_limit_60kmph,96%,640x480
2025-05-19 09:36:02,56,24 speed_limit_60kmph,98%,640x480
2025-05-19 09:36:02,57,24 speed_limit_60kmph,97%,640x480
2025-05-19 09:36:02,58,24 speed_limit_60kmph,95%,640x480
2025-05-19 09:36:02,59,24 speed_limit_60kmph,96%,640x480
2025-05-19 09:36:02,60,24 speed_limit_60kmph,92%,640x480
2025-05-19 09:36:02,61,24 speed_limit_60kmph,93%,640x480
2025-05-19 09:36:02,62,24 speed_limit_60kmph,90%,640x480
2025-05-19 09:36:02,63,24 speed_limit_60kmph,88%,640x480
2025-05-19 09:36:02,64,24 speed_limit_60kmph,89%,640x480
2025-05-19 09:36:03,65,24 speed_limit_60kmph,89%,640x480
2025-05-19 09:36:03,66,24 speed_limit_60kmph,94%,640x480
2025-05-19 09:36:03,67,24 speed_limit_60kmph,96%,640x480
2025-05-19 09:36:03,68,24 speed_limit_60kmph,92%,640x480
2025-05-19 09:36:03,69,24 speed_limit_60kmph,95%,640x480
2025-05-19 09:36:03,70,24 speed_limit_60kmph,89%,640x480
2025-05-19 09:36:03,71,24 speed_limit_60kmph,93%,640x480
2025-05-19 09:36:03,72,24 speed_limit_60kmph,95%,640x480
2025-05-19 09:36:03,73,24 speed_limit_60kmph,91%,640x480
2025-05-19 09:36:04,76,24 speed_limit_60kmph,98%,640x480
2025-05-19 09:36:04,77,24 speed_limit_60kmph,92%,640x480
2025-05-19 09:36:04,78,24 speed_limit_60kmph,87%,640x480
2025-05-19 09:36:04,80,24 speed_limit_60kmph,79%,640x480
2025-05-19 09:36:04,82,24 speed_limit_60kmph,87%,640x480
2025-05-19 09:36:04,83,24 speed_limit_60kmph,88%,640x480
2025-05-19 09:36:05,84,24 speed_limit_60kmph,91%,640x480
2025-05-19 09:36:05,85,24 speed_limit_60kmph,80%,640x480
2025-05-19 09:36:05,89,24 speed_limit_60kmph,93%,640x480
2025-05-19 09:36:05,91,24 speed_limit_60kmph,82%,640x480
2025-05-19 09:36:06,94,24 speed_limit_60kmph,78%,640x480
2025-05-19 09:36:06,98,24 speed_limit_60kmph,79%,640x480
2025-05-19 09:36:06,99,24 speed_limit_60kmph,84%,640x480
2025-05-19 09:36:06,100,24 speed_limit_60kmph,82%,640x480
2025-05-19 09:36:06,101,24 speed_limit_60kmph,86%,640x480
2025-05-19 09:36:07,102,24 speed_limit_60kmph,84%,640x480
2025-05-19 09:36:07,103,24 speed_limit_60kmph,87%,640x480
2025-05-19 09:36:07,104,24 speed_limit_60kmph,81%,640x480
2025-05-19 09:36:07,105,24 speed_limit_60kmph,81%,640x480
2025-05-19 09:36:07,106,24 speed_limit_60kmph,88%,640x480
2025-05-19 09:36:07,107,24 speed_limit_60kmph,76%,640x480
2025-05-19 09:36:07,108,24 speed_limit_60kmph,75%,640x480
2025-05-19 09:36:07,110,24 speed_limit_60kmph,85%,640x480
2025-05-19 09:36:07,111,24 speed_limit_60kmph,76%,640x480
