

=== New Session 2025-05-19 09:35:45 ===
2025-05-19 09:36:16 - 24 speed_limit_60kmph (88%)
2025-05-19 09:36:16 - 24 speed_limit_60kmph (91%)
2025-05-19 09:36:16 - 24 speed_limit_60kmph (87%)
2025-05-19 09:36:16 - 24 speed_limit_60kmph (91%)
2025-05-19 09:36:16 - 24 speed_limit_60kmph (93%)
2025-05-19 09:36:17 - 24 speed_limit_60kmph (87%)
2025-05-19 09:36:17 - 24 speed_limit_60kmph (90%)
2025-05-19 09:36:17 - 24 speed_limit_60kmph (88%)
2025-05-19 09:36:17 - 24 speed_limit_60kmph (88%)
2025-05-19 09:36:17 - 24 speed_limit_60kmph (89%)
2025-05-19 09:36:17 - 24 speed_limit_60kmph (77%)
2025-05-19 09:36:18 - 24 speed_limit_60kmph (76%)
2025-05-19 09:36:18 - 24 speed_limit_60kmph (80%)
2025-05-19 09:36:18 - 24 speed_limit_60kmph (95%)
2025-05-19 09:36:18 - 24 speed_limit_60kmph (82%)
2025-05-19 09:36:19 - 24 speed_limit_60kmph (86%)
2025-05-19 09:36:19 - 24 speed_limit_60kmph (93%)
2025-05-19 09:36:19 - 24 speed_limit_60kmph (83%)
2025-05-19 09:36:19 - 24 speed_limit_60kmph (80%)
2025-05-19 09:36:19 - 24 speed_limit_60kmph (78%)
2025-05-19 09:36:19 - 24 speed_limit_60kmph (77%)
2025-05-19 09:36:20 - 16 only_right (80%)
2025-05-19 09:36:22 - 3 go (75%)
2025-05-19 09:36:23 - 3 go (82%)
2025-05-19 09:36:23 - 3 go (77%)


=== New Session 2025-05-19 09:48:14 ===
2025-05-19 09:48:21 - 3 go (90%)
2025-05-19 09:48:22 - 3 go (91%)
2025-05-19 09:48:22 - 3 go (91%)
2025-05-19 09:48:22 - 3 go (91%)
2025-05-19 09:48:22 - 3 go (89%)
2025-05-19 09:48:22 - 3 go (88%)
2025-05-19 09:48:22 - 3 go (89%)
2025-05-19 09:48:22 - 3 go (89%)
2025-05-19 09:48:22 - 3 go (89%)
2025-05-19 09:48:22 - 3 go (89%)
2025-05-19 09:48:22 - 3 go (84%)
2025-05-19 09:48:22 - 3 go (85%)
2025-05-19 09:48:22 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (87%)
2025-05-19 09:48:23 - 3 go (88%)
2025-05-19 09:48:23 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (92%)
2025-05-19 09:48:23 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (91%)
2025-05-19 09:48:23 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (87%)
2025-05-19 09:48:23 - 3 go (89%)
2025-05-19 09:48:23 - 3 go (90%)
2025-05-19 09:48:23 - 3 go (92%)
2025-05-19 09:48:23 - 3 go (90%)
2025-05-19 09:48:24 - 3 go (91%)
2025-05-19 09:48:24 - 3 go (89%)
2025-05-19 09:48:24 - 3 go (91%)
2025-05-19 09:48:24 - 3 go (90%)
2025-05-19 09:48:24 - 3 go (91%)
2025-05-19 09:48:24 - 3 go (93%)
2025-05-19 09:48:24 - 3 go (90%)
2025-05-19 09:48:24 - 3 go (93%)
2025-05-19 09:48:24 - 3 go (93%)
2025-05-19 09:48:24 - 3 go (93%)
2025-05-19 09:48:24 - 3 go (92%)
2025-05-19 09:48:24 - 3 go (90%)
2025-05-19 09:48:24 - 3 go (92%)
2025-05-19 09:48:25 - 3 go (90%)
2025-05-19 09:48:25 - 3 go (91%)
2025-05-19 09:48:25 - 3 go (90%)
2025-05-19 09:48:25 - 3 go (92%)
2025-05-19 09:48:25 - 3 go (93%)
2025-05-19 09:48:25 - 3 go (92%)
2025-05-19 09:48:25 - 3 go (92%)
2025-05-19 09:48:25 - 3 go (87%)
2025-05-19 09:48:25 - 3 go (93%)
2025-05-19 09:48:25 - 3 go (94%)
2025-05-19 09:48:25 - 3 go (92%)
2025-05-19 09:48:25 - 3 go (93%)
2025-05-19 09:48:25 - 3 go (92%)
2025-05-19 09:48:26 - 3 go (88%)
2025-05-19 09:48:26 - 3 go (87%)
2025-05-19 09:48:26 - 3 go (91%)
2025-05-19 09:48:26 - 3 go (89%)
2025-05-19 09:48:26 - 3 go (90%)
2025-05-19 09:48:26 - 3 go (87%)
2025-05-19 09:48:26 - 3 go (87%)
2025-05-19 09:48:26 - 3 go (92%)
2025-05-19 09:48:26 - 3 go (88%)
2025-05-19 09:48:26 - 3 go (92%)
2025-05-19 09:48:26 - 3 go (90%)
2025-05-19 09:48:26 - 3 go (91%)
2025-05-19 09:48:26 - 3 go (91%)
2025-05-19 09:48:27 - 3 go (90%)
2025-05-19 09:48:27 - 3 go (92%)
2025-05-19 09:48:27 - 3 go (91%)
2025-05-19 09:48:27 - 3 go (94%)
2025-05-19 09:48:27 - 3 go (90%)
2025-05-19 09:48:27 - 3 go (91%)
2025-05-19 09:48:27 - 3 go (88%)
2025-05-19 09:48:27 - 3 go (89%)
2025-05-19 09:48:27 - 3 go (86%)
2025-05-19 09:48:27 - 3 go (84%)
2025-05-19 09:48:27 - 3 go (87%)
2025-05-19 09:48:27 - 3 go (91%)
2025-05-19 09:48:27 - 3 go (90%)
2025-05-19 09:48:28 - 3 go (87%)
